,Hypervolume
0,2.1224017420685524
1,1.981774194348387
2,1.9976373245574595
3,1.9957896927804961
4,2.265247252107541
5,2.4276441313365327
6,2.5871017757410644
7,2.782082535836352
8,2.8672713810011405
9,2.8319750256572376
10,2.9626402434040364
11,2.978129339050645
12,2.978249939288415
13,2.978304200713404
14,2.9785786140190713
15,2.986121158838597
16,3.152361500647687
17,3.032800327763569
18,3.0623807512096644
19,3.165130083038594
20,3.0350970408383096
21,2.9997229735499857
22,3.0710835894786244
23,3.1496903974994543
