,Hypervolume
0,1.2381166887855601
1,1.4819737214114197
2,2.438409475107212
3,2.517349755219106
4,2.6649105671997306
5,2.661034642432891
6,2.5968502264659943
7,2.597716633088446
8,2.6043463136667957
9,2.605965035726988
10,2.615059149127081
11,2.616429750262033
12,2.617586136534565
13,2.65711616287347
14,2.7643886432446867
15,2.7755828469647876
16,2.788946822014797
17,2.8374891149902646
18,2.6815659181856106
19,2.8443857039975193
20,2.6829843556879855
21,2.8178368078190963
22,2.692938269216493
23,2.9299213152533876
