,Utility_sampled
0,48.072027319764125
1,48.072027319764125
2,48.072027319764125
3,48.072027319764125
4,48.072027319764125
5,52.12646540026879
6,52.12646540026879
7,52.12646540026879
8,54.055522003008775
9,54.5538940983352
10,54.5538940983352
11,54.5538940983352
12,54.55389409833519
13,54.55389409833519
14,55.394395838025694
15,55.3943958380257
16,55.3943958380257
17,55.87837462596937
18,56.354386812862536
19,56.354386812862536
20,56.38178424659897
21,56.38178424659897
22,57.31602968727129
23,57.316029687271296
24,57.57259873579447
25,57.90560415650896
26,57.90560415650896
27,58.005733922672846
