,Hypervolume
0,5969.46416481511
1,5932.251856076928
2,6012.530167003894
3,6012.4384023912135
4,6167.655570323859
5,6167.677053845975
6,6155.939444735637
7,6170.2297785914425
8,6247.023233533657
9,6248.359315237304
10,6248.822234692249
11,6249.5739293800725
12,6248.97472473231
13,6250.202793160833
14,6252.783167871122
15,6254.562094722489
16,6254.557713450817
17,6254.56558367165
18,6254.535852222443
19,6262.306811979133
20,6262.077089320634
21,6266.484997172625
22,6266.536697994755
23,6266.1865146636255
24,6274.427108411775
25,6274.3641701752185
26,6274.056411967225
27,6274.5527379588075
28,6274.294369185842
29,6274.056411967226
30,6274.271604857338
31,6276.541434878816
32,6276.444715635376
33,6276.360819460036
34,6275.896869121852
