,Hypervolume
0,29034.35802542074
1,30133.797703514952
2,31212.556513313666
3,31231.634827314243
4,31307.45563077127
5,31342.015541689652
6,31299.758163797662
7,40041.11487287053
8,40230.49677994005
9,40320.11906876739
10,41204.24549349748
11,41394.514804464874
12,43227.74700418839
13,43403.087857058774
14,45079.969128596524
15,45161.39910757633
16,48798.73325488561
17,51563.37719388219
18,51676.4459374995
19,51978.40179596726
20,52669.545360457305
21,53848.28110114572
22,58448.47433542133
23,58457.53543722598
