,Hypervolume
0,49017.0678665062
1,52215.93905139623
2,53982.84539689448
3,56522.43680175168
4,58873.387357300024
5,61109.911397631295
6,62645.193009455674
7,63450.188559021706
8,63514.272728145
9,63620.18855933847
10,63620.182203311524
11,63934.21725286769
12,63936.22266132069
13,63936.21331074179
14,63937.434167813786
15,64070.05720418783
16,64070.157422937744
17,64070.21981288577
18,64173.67542861606
19,64173.76028227233
20,64173.84507878673
21,64173.90461151923
22,64358.72373704109
23,64362.202035434326
